ID,User,date,review,rating,type
19,a*****_,"2023-10-16 17:12 | Phân loại hàng: Đen Dây Rút,S",,,normal
17,a*****e,"2023-01-17 23:43 | Phân loại hàng: Đen,M",,,normal
16,aassdddfffhhh,"2024-05-13 13:35 | Phân loại hàng: Quà Tặng,L",,,normal
18,aassdddfffhhh,"2024-05-13 13:35 | Phân loại hàng: Cali Xám,M",,,normal
10,admondaddy,"2024-06-06 09:32 | Phân loại hàng: QUẦN JEAN NHÚNG,L","Màu sắc: màu đẹp, giống 80% trên ảnh thuiĐúng với mô tả: .Chất liệu: jean mà mềm lắm cầm nặng tayEo 71 bóp cỡ 2 phân mặc vừa phần eo phần thân mình muốn nó xoè hơn xíu nma nchung rộng đẹp, giao hàng nhanh",,normal
13,alicelinhhan,"2023-02-09 01:36 | Phân loại hàng: 1,M",Vải này không xứng đáng với mức giá đó,,normal
4,an_130694,"2024-07-06 12:51 | Phân loại hàng: Xám Đen,S","Đúng với mô tả: ĐúngMàu sắc: đenChất liệu: vải mátMặc vào ôm dáng nhìn cao hơn hẳn. Ống quần hơi dài , mang giày cao gót vừa đẹp",,normal
8,angeliaha2,"2023-08-02 14:42 | Phân loại hàng: Đen,M",,,normal
12,anh_036,"2023-06-13 14:15 | Phân loại hàng: 7,S","Đúng với mô tả: đúmMàu sắc: đúmChất liệu: jeans hay denim nhỉmũm mỉm tí mặc đẹp hơn, mình cỡ 45kg m60 gầy quá mặc k xinh, kiểu đùi to to tí xinh hơn",,normal
10,anhdang3110,"2023-07-05 08:27 | Phân loại hàng: QUẦN JEAN NHÚNG,S",Lúc mà mình đặt size S quần vừa eo nhưng chật mông nên phải đổi lại size M rồi chỉnh lại eo nhưng nhờ đổi qua size M nên cái ống quần rộng hơn lên form nhìn đẹp hơn í,,normal
17,anhduongnee_,"2023-03-01 18:00 | Phân loại hàng: Đen,S","Chất liệu: khong bítMàu sắc: đenĐúng với mô tả: 👍quần hơi dài, mình 1m53 35kg mặc dài qua tí xíu. Hàng của chất lượng lắm lun ý",,normal
16,anhthngl441,"2024-07-31 20:08 | Phân loại hàng: Full Set,S",,,normal
15,anhthu1313,2018-07-11 21:29,Quần siêu đẹp Shop phục vụ rất tốt Rất đáng tiền,,normal
