 	ID	rating
count	14421.0	13670.0
min	1.0	1.0
max	29.0	5.0
median	9.0	5.0
mode	2.0	5.0
Q1	3.0	5.0
Q2	9.0	5.0
Q3	15.0	5.0
IQR	12.0	0.0
Variance	49.36114291830938	0.9125593326983089
stdev	7.025748566402685	0.9552797143760088
skewness	0.6625918285984953	-2.316200325115432
kurtosis	-0.3416727164834792	4.705173209407502
