ID,User,rating,date,review,type
1,dangthiminh1981,5,"2023-04-07 10:38 | Phân loại hàng: Trắng,L","Chất liệu: cottonĐúng với mô tả: chuẩn màu sắc hoa vănMàu sắc: trắngSp đẹp hơn mong đợi,chất đẹp,cảm ơn shop bán hàng có tâm.sẽ ủng hộ shop 0:16 1báo cáo",normal
1,dyngoc07,5,"2022-05-16 17:57 | Phân loại hàng: Trắng,L","Áo đẹp lắm ạ, vải dày dặn mặc thích lắm. Giao hàng siêu nhanh luôn. Săn sale được giá như này thì quá hời rồi☺️ Vid chỉ mang tính chất nhận xu 2báo cáo",normal
1,h*****3,5,"2022-03-16 16:33 | Phân loại hàng: Đen,M","Giao hàng siêu nhanh 1 ngày là nhận đc, áo đẹp vải không quá mỏng đâu, hình in rõ nét. Mình 1m56 mặc đến mông nhé. 4báo cáo",bot
1,phuongngoc199,5,"2021-12-18 22:43 | Phân loại hàng: Đen,S","Áo này mình mua tặng sn bạn mình, brand này lần đầu tiên mua luôn cứ tưởng giá rẻ mà chất lượng kém, nhưng chất lượng siêu ưng nhé, vải xịn, đường in bóng nchung ưng nha. 10 điểm cho shop 0:081báo cáo",normal
1,giangnguyn760,5,"2022-02-11 17:44 | Phân loại hàng: Đen,M",Ảnh chất lượng thấp nhưng áo chất lượng cao nhaaaa vải đẹp mặc thích hài lòng Shop nhắn tin dễ thương 💕hình in rõ nét mình quay cận cảnh vải cho bạn nào đang phân vân nhé mua ngay đi nhaa 0:15 2báo cáo,normal
1,mai134503,5,"2022-02-23 21:48 | Phân loại hàng: Đen,L",Chất lượng sản phẩm rất tuyệt vời. Vải khá dày phần in rất đẹp. Có thư cảm ơn của shop. Rất hài lòng 0:06 4báo cáo,normal
1,volequynhnhi,5,"2021-11-26 19:10 | Phân loại hàng: Đen,L",Áo siêu đẹppp luôn á tr:333 Áo size L mặc siêu xinhh luôn á<3 Nên mua nhaaa mn 0:26 4báo cáo,normal
1,linhiee_,5,"2022-02-18 12:01 | Phân loại hàng: Đen,M","áo đẹp, vải mặc mát, mình 1m60 40kg, ai thích mặc rộng như mình thì có thể mua size M 0:08 3báo cáo",normal
1,m*****1,5,"2022-10-07 13:50 | Phân loại hàng: Đen,L","Chất liệu: vải cottonMàu sắc: đenĐúng với mô tả: chính xácChát vải áo mỏng, thoáng mát, mặc rất thích! 0:19 1báo cáo",bot
1,Người dùng Shopee,5,"2022-01-11 10:08 | Phân loại hàng: Trắng,S",Tee xinh xĩu lun á hình in nétt lắmmm Mình mặc size S Đóng gói dth cực💞 0:08 4báo cáo,bot
1,m*****y,5,"2022-04-28 16:09 | Phân loại hàng: Trắng,M","Áo đẹp lắm nha, chất vải mát mà nhìn hình in bên ngoài đẹp cực kì luôn. Ship và đóng hàng cũng rất nhanh và cẩn thận. Mọi người mua mặc thử nha 0:13",normal
1,dungkim9697,5,"2021-11-05 16:29 | Phân loại hàng: Trắng,M","So với giá tiền thì sản phẩm vô cùng xịn sò, nên mua nhé mọi người. Đóng gói và giao hàng nhanh, lại có cả thẻ bài đáng iu lắm nha. Sẽ ủng hộ shop ở những sản phẩm khác. 0:05",normal
1,t*****4,5,"2022-03-25 11:26 | Phân loại hàng: Đen,M",Áo đẹp giao hàng nhanh hình in siêu đẹp vải ok lắm nha xynk đẹp tỵt zời 0:07 2báo cáo,bot
1,beanbaek,5,"2022-04-01 17:31 | Phân loại hàng: Đen,L","Đường chỉ kĩ lưỡng, áo dày mình chưa mặc chưa biết có nóng không nhưng mà shop có thư cảm ơn cute lắm hjhj ❤️❤️ gói bằng túi zip nên mình thích lắm dễ gỡ 🥰👍🏻",normal
1,ngothikimthoa2002,5,"2023-11-17 19:52 | Phân loại hàng: Đen,S",Màu sắc: đúngĐúng với mô tả: đúngChất liệu: đúngÁo đẹp giao hàng nhanh hình in đẹp xứng đáng giá tiền 0:04,normal
1,titxiyh,5,"2021-11-26 20:41 | Phân loại hàng: Đen,L","Shop đóng gói đẹp, chắc chắn. Giao hàng nhanh, sẽ ủng hộ shop dài dài ạ 0:04",normal
1,meba5437tb,5,"2023-01-08 20:55 | Phân loại hàng: Đen,S","Chất liệu: tốtMàu sắc: đenĐúng với mô tả: đúngÁo đẹp, giao hàng nhanh, vải dày dặn hình ảnh chỉ mang tính chất nhận xu 0:17 1báo cáo",normal
1,l*****7,5,"2022-10-04 10:20 | Phân loại hàng: Đen,M","Chất liệu: dddsMàu sắc: đenĐúng với mô tả: dnsjsnMua ở shop lần 2, lần đầu khoảng hơn 1 năm trước, áo đẹp và vải xịn hơn, vải lần này hơi mỏng, hình in mịn nhưng ko quá ok. Nói chung mua cũng được 0:28",bot
1,soncuoi14092008,5,"2022-07-21 22:13 | Phân loại hàng: Trắng,S","Mặc dù hàng đến tay hơi lâu nhưng mà rất ưng ý nhen mn, shop tư vẫn rất nhiệt tình, hình in chắc chắn, vải rất chất lượng ko chỉ thừa, mặc thoải mái. 0:06",normal
1,my_ngoclai,5,"2022-01-02 19:57 | Phân loại hàng: Trắng,M",Áo đẹp chắc chắn vải cũng tốt rất đáng tiền với lại đóng gói cũng rất dễ thương quà tặng cũng rất chi là hưng<3,normal
1,Người dùng Shopee,5,"2021-06-30 17:07 | Phân loại hàng: Đen,M","Sản phẩm khá là chất lượng, đóng box kèm card rất đẹp. Áo form chuẩn, mặc lên rất ưng ý, hình in rõ nét, có thêm tag tay áo nữa thì oke hơn. Nói chung so với giá tiền vậy thì sản phẩm gọi là đỉnh của chóp! Mong shop sẽ ra nhiều mẫu áo đa dạng hơn nữa và sẽ ủng hộ shop lâu dài 👍",bot
