ID,product_link,product_name,product_price,product_rating,product_sales
14,https://shopee.vn/%C3%81o-ph%C3%B4ng-unisex-local-brand-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-raustore-U-31-i.111783192.6245781415?sp_atk=a841b347-b3c9-4f3d-a766-bf4bbb31e072&xptdk=a841b347-b3c9-4f3d-a766-bf4bbb31e072,Áo phông unisex local brand ULZZ ulzzang form dáng rộng tay lỡ raustore U-31,159.0,4.9,Đã bán 728
15,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-ulzzang-astronaut-unisex-tay-l%E1%BB%A1-form-d%C3%A1ng-r%E1%BB%99ng-no-hev-sheep-i.111783192.18178976199?sp_atk=5a03f63c-5557-482d-9a75-53dc1c9bb5ec&xptdk=5a03f63c-5557-482d-9a75-53dc1c9bb5ec,Áo thun local brand ULZZ ulzzang astronaut unisex tay lỡ form dáng rộng no hev sheep,159.0,4.6,Đã bán 35
16,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-in-h%C3%ACnh-feel-good-i.111783192.18775624807?sp_atk=1fc0a0af-e61f-42ce-b570-1bb2605c2cdc&xptdk=1fc0a0af-e61f-42ce-b570-1bb2605c2cdc,Áo thun unisex local brand ULZZ ulzzang form dáng rộng tay lỡ in hình feel good,159.0,4.8,Đã bán 41
17,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-claw-crane-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-U-15-i.111783192.9571235969?sp_atk=842594c1-2387-47b7-9fbc-158d459113ce&xptdk=842594c1-2387-47b7-9fbc-158d459113ce,Áo thun unisex local brand ULZZ ulzzang claw crane form dáng rộng tay lỡ U-15,159.0,4.9,"Đã bán 1,4k"
18,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-ulzzang-puppets-d%C3%A1ng-tay-l%E1%BB%A1-unisex-U-22-i.111783192.7640093086?sp_atk=dcdc6402-446d-444b-b0bf-75eae2a9f48d&xptdk=dcdc6402-446d-444b-b0bf-75eae2a9f48d,Áo thun local brand ULZZ ulzzang puppets dáng tay lỡ unisex U-22,159.0,4.9,"Đã bán 1,2k"
19,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-in-h%C3%ACnh-dee-devil-i.111783192.18872071781?sp_atk=56a974b5-6310-421e-954a-b7d9594de926&xptdk=56a974b5-6310-421e-954a-b7d9594de926,Áo thun unisex local brand ULZZ ulzzang form dáng rộng tay lỡ in hình dee devil,159.0,4.8,Đã bán 141
20,https://shopee.vn/%C3%81o-thun-n%E1%BB%AF-ulzz-ulzzang-tay-l%E1%BB%A1-form-d%C3%A1ng-r%E1%BB%99ng-wonderful-movent-i.111783192.13791075352?sp_atk=7750f1a6-a455-45e4-92bc-4ac3877946e5&xptdk=7750f1a6-a455-45e4-92bc-4ac3877946e5,Áo thun nữ ulzz ulzzang tay lỡ form dáng rộng wonderful movent,159.0,4.7,Đã bán 77
21,https://shopee.vn/%C3%81o-thun-n%E1%BB%AF-unisex-ULZZANG-cotton-tay-l%E1%BB%A1-over-size-beauty-flower-i.111783192.22541715320?sp_atk=22409993-c82f-4fd8-b611-e30028834c3c&xptdk=22409993-c82f-4fd8-b611-e30028834c3c,Áo thun nữ unisex ULZZANG cotton tay lỡ over size beauty flower,159.0,,Đã bán 6
22,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-local-brand-ULZZ-ulzzang-balloon-d%C3%A0nh-cho-nam-n%E1%BB%AF-form-d%C3%A1ng-r%E1%BB%99ng-U-10-i.111783192.8766852477?sp_atk=675a0896-33c8-4172-8ffc-4de2c7fed8ca&xptdk=675a0896-33c8-4172-8ffc-4de2c7fed8ca,Áo thun tay lỡ local brand ULZZ ulzzang balloon dành cho nam nữ form dáng rộng U-10,149.0,4.8,Đã bán 521
23,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-in-h%C3%ACnh-oph-with-love-i.111783192.17597331652?sp_atk=f94543aa-c85d-4154-8070-921a83c96a28&xptdk=f94543aa-c85d-4154-8070-921a83c96a28,Áo thun unisex local brand ULZZ ulzzang form dáng rộng tay lỡ in hình oph with love,129.0,5.0,Đã bán 5
24,https://shopee.vn/%C3%81o-thun-n%E1%BB%AF-Ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-unisex-twenti-i.111783192.17465963039?sp_atk=6efd8028-078f-4657-ac51-dc55da90c17d&xptdk=6efd8028-078f-4657-ac51-dc55da90c17d,Áo thun nữ Ulzzang form dáng rộng tay lỡ unisex twenti,159.0,4.8,Đã bán 114
25,https://shopee.vn/%C3%81o-thun-n%E1%BB%AF-tay-l%E1%BB%A1-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-the-city-i.111783192.23138702552?sp_atk=c4b66e17-2803-4077-b046-e375f5d88ae4&xptdk=c4b66e17-2803-4077-b046-e375f5d88ae4,Áo thun nữ tay lỡ ULZZ ulzzang form dáng rộng the city,159.0,,Đã bán 6
26,https://shopee.vn/%C3%81o-thun-n%E1%BB%AF-form-d%C3%A1ng-r%E1%BB%99ng-Ulzzang-tay-l%E1%BB%A1-waves-i.111783192.16148563101?sp_atk=a262ee3c-be47-4b98-b462-de7fb3806859&xptdk=a262ee3c-be47-4b98-b462-de7fb3806859,Áo thun nữ form dáng rộng Ulzzang tay lỡ waves,159.0,4.9,Đã bán 43
27,https://shopee.vn/%C3%81o-thun-n%E1%BB%AF-tay-l%E1%BB%A1-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-Bear-Line-i.111783192.19845727836?sp_atk=bbc21ee3-da82-479f-96f9-e956562fec33&xptdk=bbc21ee3-da82-479f-96f9-e956562fec33,Áo thun nữ tay lỡ ULZZ ulzzang form dáng rộng Bear Line,159.0,4.9,Đã bán 66
28,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-Ulzzang-d%C3%A1ng-unisex-tay-l%E1%BB%A1-in-h%C3%ACnh-disout-U-21-i.111783192.3245941296?sp_atk=f667b152-57f2-477e-be06-5b7b88a2f55e&xptdk=f667b152-57f2-477e-be06-5b7b88a2f55e,Áo thun local brand ULZZ Ulzzang dáng unisex tay lỡ in hình disout U-21,159.0,4.9,"Đã bán 1,9k"
29,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-ulzzang-robo-d%C3%A1ng-unisex-tay-l%E1%BB%A1-U-23-i.111783192.7739378350?sp_atk=85786c37-4d60-4b03-a500-5dc9008bceaf&xptdk=85786c37-4d60-4b03-a500-5dc9008bceaf,Áo thun local brand ULZZ ulzzang robo dáng unisex tay lỡ U-23,159.0,4.9,Đã bán 774
30,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-in-h%C3%ACnh-g%E1%BA%A5u-h%E1%BB%93ng-i.111783192.23334391320?sp_atk=d9c97344-67c2-4003-af50-1b82eda26fde&xptdk=d9c97344-67c2-4003-af50-1b82eda26fde,Áo thun unisex local brand ULZZ ulzzang form dáng rộng tay lỡ in hình gấu hồng,159.0,5.0,Đã bán 15
