ID,User,rating,date,review
1,meba5437tb,5 Sao (585),"2023-01-08 20:55 | Phân loại hàng: Đen,S","meba5437tb2023-01-08 20:55 | Phân loại hàng: Đen,SChất liệu: tốtMàu sắc: đenĐúng với mô tả: đúngÁo đẹp, giao hàng nhanh, vải dày dặn hình ảnh chỉ mang tính chất nhận xu 0:17  1báo cáo"
1,l*****7,5 Sao (585),"2022-10-04 10:20 | Phân loại hàng: Đen,M","l*****72022-10-04 10:20 | Phân loại hàng: Đen,MChất liệu: dddsMàu sắc: đenĐúng với mô tả: dnsjsnMua ở shop lần 2, lần đầu khoảng hơn 1 năm trước, áo đẹp và vải xịn hơn, vải lần này hơi mỏng, hình in mịn nhưng ko quá ok. Nói chung mua cũng được 0:28   hữu ích?báo cáo"
1,soncuoi14092008,5 Sao (585),"2022-07-21 22:13 | Phân loại hàng: Trắng,S","soncuoi140920082022-07-21 22:13 | Phân loại hàng: Trắng,SMặc dù hàng đến tay hơi lâu nhưng mà rất ưng ý nhen mn, shop tư vẫn rất nhiệt tình, hình in chắc chắn, vải rất chất lượng ko chỉ thừa, mặc thoải mái. 0:06  hữu ích?báo cáo"
1,my_ngoclai,5 Sao (585),"2022-01-02 19:57 | Phân loại hàng: Trắng,M","my_ngoclai2022-01-02 19:57 | Phân loại hàng: Trắng,MÁo đẹp chắc chắn vải cũng tốt rất đáng tiền với lại đóng gói cũng rất dễ thương quà tặng cũng rất chi là hưng<3  hữu ích?báo cáo"
1,Người dùng Shopee,5 Sao (585),"2021-06-30 17:07 | Phân loại hàng: Đen,M","Người dùng Shopee2021-06-30 17:07 | Phân loại hàng: Đen,MSản phẩm khá là chất lượng, đóng box kèm card rất đẹp. Áo form chuẩn, mặc lên rất ưng ý, hình in rõ nét, có thêm tag tay áo nữa thì oke hơn. Nói chung so với giá tiền vậy thì sản phẩm gọi là đỉnh của chóp! Mong shop sẽ ra nhiều mẫu áo đa dạng hơn nữa và sẽ ủng hộ shop lâu dài 👍hữu ích?báo cáo"
1,chinhh_156,5 Sao (585),"2021-11-27 00:24 | Phân loại hàng: Trắng,M","chinhh_1562021-11-27 00:24 | Phân loại hàng: Trắng,Mmình hơi buồn vì size M kh như ý muốn :((( Nó hơi ôm với thân hình mình xíu :(((( Nhưng mà chất lương vải ok nên mua nha mn ai muốn mặc from rộng nên mua size L, size dành cho người 1m60 trở xuống th 🥲 0:10     9báo cáo"
1,lmu128,5 Sao (585),"2021-12-22 10:29 | Phân loại hàng: Đen,M","lmu1282021-12-22 10:29 | Phân loại hàng: Đen,Mtừ hình in đến chất vải đều okee cách shop đóng gói sp mjk rất thícc  1báo cáo"
1,nn10xch,5 Sao (585),"2022-05-18 23:29 | Phân loại hàng: Trắng,L","nn10xch2022-05-18 23:29 | Phân loại hàng: Trắng,LChất áo không nóng nè, ổn so với giá, áo như ảnh, mình m6 mặc L gần qua mông nhá, nch nên mua nè 0:41 1báo cáo"
1,alida_kim48,5 Sao (585),"2022-02-27 12:02 | Phân loại hàng: Trắng,M","alida_kim482022-02-27 12:02 | Phân loại hàng: Trắng,MÁo ở ngoài nhìn đẹp. Đúng form. Chất vải và hình in đẹp lắm mn ạ. Box card và túi đựng áo rất xịn xò hữu ích?báo cáo"
1,tranngockhanhduong,5 Sao (585),"2021-11-25 12:20 | Phân loại hàng: Đen,M","tranngockhanhduong2021-11-25 12:20 | Phân loại hàng: Đen,MÁo xinh với giá này mà vải quá tuyệt vời luôn hình in xịn xò mọi người nên mu nha 0:35 1báo cáo"
1,dinocaurs,5 Sao (585),"2022-01-21 21:54 | Phân loại hàng: Đen,L","dinocaurs2022-01-21 21:54 | Phân loại hàng: Đen,LLúc đầu giao đến hộp hơi móp méo sợ bên trong nó bị sao nhưng mở ra hàng đc sắp xếp gọn gàng,đẹp. Chất liệu thì khỏi bàn luôn giá vừa rẻ vừa đẹp,vải dầy dặn,áo from đúng mẫu. Tóm lại rất ưng nên cho 5 sao .  Nên mua thử nha mn 0:11  1báo cáo"
1,Người dùng Shopee,5 Sao (585),"2022-05-22 11:08 | Phân loại hàng: Đen,M","Người dùng Shopee2022-05-22 11:08 | Phân loại hàng: Đen,MÁo đẹp lắm nha mọi người vải chắc chắn k bao giờ xù luôn lên from cực đẹp nhaaa m 50 mặc 0:11    hữu ích?báo cáo"
1,trang_linh2509,5 Sao (585),"2022-07-20 19:03 | Phân loại hàng: Đen,L","trang_linh25092022-07-20 19:03 | Phân loại hàng: Đen,LĐẹp lắm mng. Giao hàng nhanh , chất đẹp . Hình in rõ nét . Rất đáng tiền . Nên mua nha  1báo cáo"
