User,rating,date,review
t*****8,5 Sao (678),"2021-12-28 13:35 | Phân loại hàng: Đen,L","t*****82021-12-28 13:35 | Phân loại hàng: Đen,L1 từ thôi.. ĐỈNHH. Giao hàng cực nhanh, đóng gói đẹp, cẩn thận, đúng mẫu đúng màu, chất áo xịn mịn mát, tem mác đầy đủ còn dc tặng 1 cái móc chìa khoá có quét mã QR ncl với giá này thì k còn gì pefect hơn🥰 0:33    4báo cáo"
Người dùng Shopee,5 Sao (678),"2022-02-22 09:34 | Phân loại hàng: Đen,L","Người dùng Shopee2022-02-22 09:34 | Phân loại hàng: Đen,Lhàng mall thì khỏi chê r tiền nào của nấy thui chất vải cotton mềm mịn in chữ cx xinh k sợ bị hỏg khi giặt máy 10 điểm❤️ 0:11  3báo cáo"
trangtranglove_123,5 Sao (678),"2021-11-30 11:18 | Phân loại hàng: Đen,L","trangtranglove_1232021-11-30 11:18 | Phân loại hàng: Đen,LÁo dày dặn from to chất lượng lắm ạ với cả hình in sắc mọi người muốn mặc rộng cứ mua size l nha m60 mặc l perfect lun 0:07   2báo cáo"
p*****3,5 Sao (678),"2022-03-31 16:08 | Phân loại hàng: Đen,M","p*****32022-03-31 16:08 | Phân loại hàng: Đen,MThật sự không thể chê vào đâu được mình đã đặt bên shop 4 cái áo rồi quá trời ưng lun 😍chất vải xịn mịn😘sờ rất thích tay mặc lên người rất thoải mái 😗😗sẽ ủng hộ shop dài dài😍😍🥰🥰 0:11  hữu ích?báo cáo"
thannh8989,5 Sao (678),"2022-01-09 16:28 | Phân loại hàng: Đen,M","thannh89892022-01-09 16:28 | Phân loại hàng: Đen,MHàng chất lượng 
Đóng gói cẩn thận
Giao hàng nhanh
Hàng đẹp
Tuy nhiên tay ko hơi nhỏ so vs e 
Nói chung là hàng rất đước nha shop😘 0:06 1báo cáo"
tradeptrai_1,5 Sao (678),"2022-03-04 13:13 | Phân loại hàng: Đen,L","tradeptrai_12022-03-04 13:13 | Phân loại hàng: Đen,Lvải đẹp lắm nha mn
có hộp đựng tuyệt vời ông mặt trời
tag đẹp
hình in đẹp 
tất cả đều đẹp nhma 1 đỉm trừ là k có giầy thơm nhưng vẫn cho shop 5* nkaa 0:15     6báo cáo"
t*****0,5 Sao (678),"2022-04-06 13:35 | Phân loại hàng: Đen,M","t*****02022-04-06 13:35 | Phân loại hàng: Đen,MÁo đẹp lắm, giao hàng nhanh . Chất vải dày dặn hợp tiền, lần đầu mua ở shop mà rất ưng ý lần sau sẽ ghé qua mua tiếp, nên mua nha. 0:05  hữu ích?báo cáo"
h*****1,5 Sao (678),"2022-03-25 19:11 | Phân loại hàng: Đen,L","h*****12022-03-25 19:11 | Phân loại hàng: Đen,LÁo đẹp lắm nha, local nên không còn gì để chê rồi. Lần đầu tiên mua ở shop mà ưng lắm. Lần sau sẽ quay lại ủng hộ shop ạ. Giao hàng nhanh 0:13  hữu ích?báo cáo"
damngocvuong2002_12345,5 Sao (678),"2021-09-22 11:03 | Phân loại hàng: Đen,M","damngocvuong2002_123452021-09-22 11:03 | Phân loại hàng: Đen,MGiao hàng do dịch bệnh nên mất 7 ngày. Shop đóng gói cẩn thận, dễ thương. Chất áo khá tốt so với giá, k hẳn là cotton, chất vải dày, mặc mùa này oke. Đường may đẹp, in hình tốt. Sẽ tiếp tục ủng hộ. 0:19 1báo cáo"
t*****a,5 Sao (678),"2022-03-06 11:06 | Phân loại hàng: Đen,L","t*****a2022-03-06 11:06 | Phân loại hàng: Đen,LÁo đẹp nhức nách, chất vải khá dày mặc mùa hè thì hơi nóng, giao nhanh và đóng gói rất đỉnh của chóp.❤ 0:08     10báo cáo"
