User,date,review,rating
t*****2,"2023-11-12 11:41 | Phân loại hàng: Đen,M","2023-11-12 11:41 | Phân loại hàng: Đen,M",4 Sao (440)
v*****m,"2023-06-29 12:05 | Phân loại hàng: Đen,L","2023-06-29 12:05 | Phân loại hàng: Đen,L",4 Sao (440)
thietbidienbenthanh,"2024-02-01 10:36 | Phân loại hàng: Kem,M","vải ổn hơn nóng có thể tham khảo thêm, ship nhanh, shipper thân thiện",4 Sao (440)
lam_nhu0202,"2023-04-09 19:55 | Phân loại hàng: Green trendy,L","Màu sắc: đẹpChất liệu: cottonTrước đó mình có mua 2c rồi h mua cái này cảm giác mặc sao không mát và thích bằng thì phải, thấy nó hơi nóng:(( không biết sao nữa mà nó khác 2 cái áo trước ó với size sao rộng quá tr rộng, hồi đó mua size L giờ mua lại siêu to luôn",4 Sao (440)
j*****0,"2024-04-08 11:37 | Phân loại hàng: Đen,M","2024-04-08 11:37 | Phân loại hàng: Đen,M",4 Sao (440)
xlfo9ibxtu,"2023-03-02 13:14 | Phân loại hàng: Trắng,M","Đúng với mô tả: 9/10Áo hk dày lắm, mỏng lắm lun ý thấy đc nội y lun khuyên mọi người có mua thì mua màu đen nha đừng sai lầm mà mua màu trắng, tay áo hơi ngắn đúng sai nhưng hơi chật đối với ng cao m62,thật sự không hài lòng lắm",4 Sao (440)
maithuy03ne,"2024-08-01 22:04 | Phân loại hàng: Kem,L","Màu sắc: kemNên mua nha mng ơi. Rất đáng tiền ạ 
Shippe thân thiên dễ gần nuẫ",4 Sao (440)
dinhngocmui,"2023-05-06 12:47 | Phân loại hàng: Đen,M","Chất liệu: vải dàyĐúng size, săn sale giá đẹp áo đẹp dc tặng cây bút mực đẹp vãi ò",4 Sao (440)
3k6l5coxuf,"2023-02-22 20:57 | Phân loại hàng: Kem,M","Chất liệu: bình thườngMàu sắc: màu beĐúng với mô tả: đúng vs hình ảnh trên mạng nha,nên mua thử để cảm nhận sảm phẩm",4 Sao (440)
sazachi,"2023-12-14 19:26 | Phân loại hàng: Kem,XL",áo đẹp nhưng màu hồng trên áo đối với mình thì không ưng lắm áo không quá dày,4 Sao (440)
a*****3,"2024-04-08 08:45 | Phân loại hàng: Đen,M","2024-04-08 08:45 | Phân loại hàng: Đen,M",4 Sao (440)
phngkim348,"2024-01-19 16:04 | Phân loại hàng: Đen,M","Shop giao hàng nhanh, đóng gói cũng cẩn thận chỉ là chất vải quá mỏng, mua màu be thì chất cũng tạm chứ màu đen thì tệ nha mn",4 Sao (440)
tranthibaotran2000,"2023-03-11 23:39 | Phân loại hàng: Kem,M",Chất liệu: vảiMàu sắc: kemĐúng với mô tả: oceMik mua áo lần 2 lần trc màu đen dày dặn oke màu kem này thấy hơi mỏng mong các sp màu của shop có thể làm dày giống áo đen ạ:)),4 Sao (440)
ir9ydkla8r,"2024-01-24 16:03 | Phân loại hàng: Kem,L","Màu sắc: beĐúng với mô tả: đúngÁo thơm lắm, ik như mẫu, hình in rất đẹp, mặc lên xinh lắm lun í",4 Sao (440)
tngtrng664,"2023-01-11 11:36 | Phân loại hàng: Trắng,M",Chất liệu: chất liệu i mô tảĐúng với mô tả: đúng vs mô tảRất hài lòng về sp lần sau sẻ mua típ👍,4 Sao (440)
cubhoc,"2023-04-18 10:43 | Phân loại hàng: Trắng,M",Màu sắc: trắngChất liệu: vảiĐúng với mô tả: okÁo sz M mà rộng như XL vậy. Mua về mặc không vừa. Chất liệu ổn . Màu in sắc nét. Đường may cẩn thận. Mùi thơm,4 Sao (440)
p*****2,"2024-01-18 16:22 | Phân loại hàng: Kem,M","2024-01-18 16:22 | Phân loại hàng: Kem,M",4 Sao (440)
thanhlamtrnth563,"2024-08-06 23:40 | Phân loại hàng: Kem,M",Màu sắc: đẹpChất liệu: tốtÁo bị có dấu mực mong shop lần sau nên kiểm tra hàng tốt hơn,4 Sao (440)
7vo1pu9ydf,"2023-10-31 16:21 | Phân loại hàng: Green trendy,L",Màu sắc: xanhChất liệu: đúngĐúng với mô tả: đúngtr ơi muâ lộn size nó rộng quá trời rộng luôn haizz,4 Sao (440)
y*****m,"2023-03-09 10:09 | Phân loại hàng: Kem,M","2023-03-09 10:09 | Phân loại hàng: Kem,M",4 Sao (440)
lienkim611,"2023-07-20 09:04 | Phân loại hàng: Trắng,L","Đúng với mô tả: đúng với mô tảMàu sắc: trắngChất liệu: thunĐã nhận hàng, chất vải đẹp, rất ưng ý,............",4 Sao (440)
quynhanhnguyn435,"2024-02-21 18:24 | Phân loại hàng: Đen,M",okk lắm đẹp nói chung ưng lắm ret nữa á ai thích mặc rộng thì đặt size to tí nha,4 Sao (440)
2hhq3cltkv,"2024-01-23 12:49 | Phân loại hàng: Kem,M","Màu sắc: kemĐúng với mô tả: đúngChất liệu: vảiHàng giao hơi lâu, vải mỏng so với ảnh, còn nhiều chỉ thừa, cũng được chứ không xuất sắc",4 Sao (440)
nhieexinchao,"2023-10-17 21:16 | Phân loại hàng: Trắng,M","Màu sắc: trắng, đenĐúng với mô tả: đúngChất liệu: vải máttrừ 1 điểm do đi chơi về rồi mới giao:((((((",4 Sao (440)
phannganhaha,"2023-01-15 12:21 | Phân loại hàng: Kem,M",Chất liệu: ổnMàu sắc: kemĐúng với mô tả: đúngHình ảnh chỉ mang tính chất nhận xu,4 Sao (440)
hav13,"2023-11-26 15:46 | Phân loại hàng: Kem,M","Vải đẹp, giống i chang hình, có cả giấy thơm các thứ shop tl nhanh",4 Sao (440)
h*****s,"2023-04-18 11:31 | Phân loại hàng: Kem,L","2023-04-18 11:31 | Phân loại hàng: Kem,L",4 Sao (440)
f_znylvbl4,"2023-11-23 16:52 | Phân loại hàng: Đen,L",đoa có mua một lần vải dày nay vải kh dc dày với áo kh có tag ngay tay với dưới áo luon huhu,4 Sao (440)
nganguyen719,"2023-06-14 17:08 | Phân loại hàng: Kem,XL","Chất liệu: mỏngMàu sắc: beeeeeĐúng với mô tả: màu,sizeSize xl to lắm o:v nên là thik mặc zừa người chọn size l :].vải mỏng ko đc như mấy hãng khác nhưng form t lại thik hãng này(hơi vô lý nhma thuyết phụcT_T) áo đệp ko mún mặc lộ thì chọn mà xanh hoặc đen:))))[ ......hết.....]",4 Sao (440)
chaubui_2011,"2024-01-02 20:28 | Phân loại hàng: Kem,L","Đúng với mô tả: đúngMàu sắc: beLúc áo về hơi bị bẩn 1 tẹo nhm áo lên from ok , vải dày dặn ,hình in rõ đẹp",4 Sao (440)
mylinh123,"2024-05-04 18:59 | Phân loại hàng: Kem,M","Mình thấy ghi mô tả là premium cotton nhưng sờ chất vẫn không giống áo mình đã mua brand khác. Mặc lên dáng, hoạt tiết in sắc nét.",4 Sao (440)
thu_nhat_05,"2023-12-17 17:16 | Phân loại hàng: Đen,XL","Chất liệu: thunĐúng với mô tả: okMàu sắc: đenMặc khá ok vải hơi nóng, vải có vẻ bị xù sau khi giặt",4 Sao (440)
