User,tanggal waktu,review
hma.08032003,"2024-05-10 11:32 | Phân loại hàng: Đen,M","Chất liệu: cottonMàu sắc: đenĐúng với mô tả: đúngGiao hàng nhanh đóng gói cẩn thận, áo vải mát hình thêu dễ thương 100000 điểm nên mua nha"
1pjohow46i,"2024-06-25 09:49 | Phân loại hàng: Hồng,L","Đúng với mô tả: vải mịn đường mai sắc nétChất liệu: mềm mịnMàu sắc: hồngđặt đúng size nhé mặc vô lên from lắmm,đẹp kinh khủng"
13_h00kuup,"2024-07-12 16:53 | Phân loại hàng: Đen,L","Đúng với mô tả: đúngMàu sắc: đenChất liệu: cottonĐẹp nha mọi ngừi, với hơn 100k mua đc cái áo như zạy là ưng ròi 👍🧡"
quyenhoang17,"2024-06-20 22:00 | Phân loại hàng: Đen,XL","Đúng với mô tả: đúngMàu sắc: đenChất liệu: thun cottonÁo mặc chất dày dặn, mình đã mua áo bên 8yo 1 lần và rất ưng nên mua thêm, chiếc này thêu sắc nét, hình xinh xắn và đường chỉ đẹp nhe, k thấy chỉ thừa mà giá rẻ có 139k. Chắc là sắp tới sẽ thành fan bự của 8yo thui 😚"
_d.tzly.18_,"2024-04-21 13:11 | Phân loại hàng: Kem,M","Chất liệu: kh bicMàu sắc: kemĐúng với mô tả: dúngLúc đi chơi là còn có 2 ngày th tưởng giao kh kịp nmaaa ai dè giaoo kịp, áo xinh lắmm🫰🏻"
tran.hong.nhung_595,"2024-05-07 22:51 | Phân loại hàng: Kem,XL","Màu sắc: kemĐúng với mô tả: đúngGiao hàng siu nhanh, hình ảnh mang tính chất nhận xu. Áo xinh lắm nha. Ai muốn mặc rộng thì lấy size to"
minnpuon,"2024-06-12 19:14 | Phân loại hàng: Đen,M","Chất liệu: okĐúng với mô tả: okMàu sắc: okshop giao đúng mẫu minh chon, chất vải cotton mát đúng kiểu mình thích, hình thêu sịn xò, đóng gói kĩ càng nchung oke đẹp ưng!"
maiduyen12,"2024-07-31 10:19 | Phân loại hàng: Xanh,M","Màu xanh xinh iu lắm luôn á. Hình thêu đẹp. Mua qua review của chị HL.
Vải mềm, co dãn nhẹ, không mỏng không dày. 
Form áo rộng, mặc size M vẫn khá to, tay lửng đến gần khuỷu.
Packaging chỉn chu. 
Giá quá tốt so với chất lượng"
hangtran2004,"2024-07-11 12:25 | Phân loại hàng: Đen,L","Chất liệu: chất vải đẹp nhaMàu sắc: đen, size LHình thêu siêu cute, săn live được giá hời, mình m55, 47kg mặc trùm mông, form rộng"
szm0rmwoqu,"2024-06-01 18:45 | Phân loại hàng: Kem,L","Màu sắc: kem tui cho 9/10Chất liệu: vải cotton mềm mịn, mặc mátĐúng với mô tả: đúng,cạp cao, đường may chuẩn, không có chỉ thừa, chữ thêu rõ màu, nói chung là đẹp, hợp ý với mình mong muốn sẽ tương tác với shop nhiều trong time sắp tới 💗💗"
